"respondent_id","report_yr","report_prd","spplmnt_num","row_num","avail_cap","plan_outage","unplan_outage","other_outage","tot_net","ex_avail_cap","ex_not_avail","tot_capability","avail_cap_f","plan_outage_f","unplan_outage_f","other_outage_f","tot_net_f","ex_avail_cap_f","ex_not_avail_f","tot_capability_f"
216,2006,12,0,200,"6954","140","593","0","7687","302","0","7989",0,0,0,0,0,0,0,0
216,2006,12,0,300,"7021","612","45","0","7678","333","0","8011",0,0,0,0,0,0,0,0
216,2006,12,0,400,"6307","581","572","0","7460","333","0","7793",0,0,0,0,0,0,0,0
216,2006,12,0,500,"6676","587","489","0","7752","1670","0","9422",0,0,0,0,0,0,0,0
216,2006,12,0,600,"7354","68","314","0","7736","1952","0","9688",0,0,0,0,0,0,0,0
216,2006,12,0,700,"8320","29","631","0","8980","2447","0","11427",0,0,0,0,0,0,0,0
216,2006,12,0,800,"6735","65","861","0","7661","2215","0","9876",0,0,0,0,0,0,0,0
216,2006,12,0,900,"6160","933","740","0","7833","1859","0","9692",0,0,0,0,0,0,0,0
216,2006,12,0,1000,"5578","1674","527","0","7779","1621","0","9400",0,0,0,0,0,0,0,0
216,2006,12,0,1100,"5897","1211","530","0","7638","345","0","7983",0,0,0,0,0,0,0,0
216,2006,12,0,1200,"5829","1296","545","0","7670","325","0","7995",0,0,0,0,0,0,0,0
277,2006,12,0,100,"1291","0","0","0","1291","180","0","1471",0,0,0,0,0,0,0,0
277,2006,12,0,200,"1291","0","0","0","1291","-6","0","1285",0,0,0,0,0,0,0,0
277,2006,12,0,300,"1291","0","0","0","1291","163","0","1454",0,0,0,0,0,0,0,0
277,2006,12,0,400,"1291","-435","0","0","856","143","0","999",0,0,0,0,0,0,0,0
277,2006,12,0,500,"1291","0","0","0","1291","233","0","1524",0,0,0,0,0,0,0,0
277,2006,12,0,600,"1276","0","0","0","1276","100","0","1376",0,0,0,0,0,0,0,0
277,2006,12,0,700,"1276","-6","0","0","1270","194","0","1464",0,0,0,0,0,0,0,0
277,2006,12,0,800,"1274","-108","-7","0","1159","180","0","1339",0,0,0,0,0,0,0,0
277,2006,12,0,900,"1291","-100","0","0","1191","160","0","1351",0,0,0,0,0,0,0,0
277,2006,12,0,1000,"1291","-575","0","0","716","65","0","781",0,0,0,0,0,0,0,0
277,2006,12,0,1100,"1291","0","0","0","1291","136","0","1427",0,0,0,0,0,0,0,0
277,2006,12,0,1200,"1291","0","0","0","1291","120","0","1411",0,0,0,0,0,0,0,0
142,2006,12,0,100,"3705","125","0","0","3830","0","0","3830",0,0,0,0,0,0,0,0
142,2006,12,0,200,"3314","516","0","0","3830","0","0","3830",0,0,0,0,0,0,0,0
142,2006,12,0,300,"3231","599","0","0","3830","0","0","3830",0,0,0,0,0,0,0,0
